# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 380:         5.762       50.906     114.30  MAASTRICHT
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s);
# TX       = Maximum temperatuur (in 0.1 graden Celsius);
# DR       = Duur van de neerslag (in 0.1 uur);
#
# STN,YYYYMMDD,  FHX,   TX,   DR
#
  380,20180311,   70,  152,    0
  380,20180312,   80,  147,   19
  380,20180313,   70,   85,  118
  380,20180314,   50,  126,    0
  380,20180315,   60,  113,   57
  380,20180316,   70,   97,   40
  380,20180317,  100,    5,    6
  380,20180318,   90,    9,    0
  380,20180319,   70,   31,    0
  380,20180320,   90,   86,    7
  380,20180321,   40,   69,    0
  380,20180322,   60,   68,   65
  380,20180323,   70,   69,    5
  380,20180324,   40,  126,    0
  380,20180325,   40,  133,    0
  380,20180326,   30,  111,    2
  380,20180327,   60,  105,   90
  380,20180328,  100,  106,   83
  380,20180329,   60,  112,    2
  380,20180330,   60,  148,   30
  380,20180331,   40,  131,   19
  380,20180401,   50,   81,   21
  380,20180402,   80,  148,   13
  380,20180403,   90,  162,   13
  380,20180404,   90,  144,   20
  380,20180405,   80,   96,    8
  380,20180406,   60,  175,    0
  380,20180407,   60,  228,    0
  380,20180408,   40,  234,    0
  380,20180409,   50,  174,    0
  380,20180410,   50,  188,   33
  380,20180411,   40,  130,   33
  380,20180412,   40,  168,    0
  380,20180413,   40,  148,    0
  380,20180414,   40,  188,   27
  380,20180415,   50,  184,   40
  380,20180416,   40,  179,    2
